time,sst
1854-01-01,23.015179
1854-02-01,23.217245
1854-03-01,23.038836
1854-04-01,22.60599
1854-05-01,21.7925
1854-06-01,21.03586
1854-07-01,19.801762
1854-08-01,19.569944
1854-09-01,20.141874
1854-10-01,20.882854
1854-11-01,21.548548
1854-12-01,22.342144
1855-01-01,22.99565
1855-02-01,23.352856
1855-03-01,22.671394
1855-04-01,22.56675
1855-05-01,21.885975
1855-06-01,20.51764
1855-07-01,19.758795
1855-08-01,19.712965
1855-09-01,20.09772
1855-10-01,20.491446
1855-11-01,21.187548
1855-12-01,22.106018
1856-01-01,22.694368
1856-02-01,22.95017
1856-03-01,23.046034
1856-04-01,22.757729
1856-05-01,21.589989
1856-06-01,20.790962
1856-07-01,20.111742
1856-08-01,19.84171
1856-09-01,20.08773
1856-10-01,20.61892
1856-11-01,21.540573
1856-12-01,22.065752
1857-01-01,22.700794
1857-02-01,22.893473
1857-03-01,22.92481
1857-04-01,22.539974
1857-05-01,21.727037
1857-06-01,20.900316
1857-07-01,20.137178
1857-08-01,19.644335
1857-09-01,19.978333
1857-10-01,20.778389
1857-11-01,21.493914
1857-12-01,21.558641
1858-01-01,21.927898
1858-02-01,22.266136
1858-03-01,23.072771
1858-04-01,22.82675
1858-05-01,21.980873
1858-06-01,21.212889
1858-07-01,20.684202
1858-08-01,20.05472
1858-09-01,19.960802
1858-10-01,20.574173
1858-11-01,21.459562
1858-12-01,22.333323
1859-01-01,23.034
1859-02-01,23.210497
1859-03-01,23.190151
1859-04-01,22.67826
1859-05-01,22.280785
1859-06-01,21.263227
1859-07-01,20.45743
1859-08-01,19.754269
1859-09-01,20.065321
1859-10-01,20.469948
1859-11-01,21.646656
1859-12-01,22.76319
1860-01-01,23.467823
1860-02-01,23.72193
1860-03-01,23.347698
1860-04-01,22.60896
1860-05-01,21.738909
1860-06-01,20.959124
1860-07-01,20.133667
1860-08-01,19.538645
1860-09-01,19.831806
1860-10-01,20.814083
1860-11-01,21.298868
1860-12-01,21.746962
1861-01-01,22.668879
1861-02-01,23.027641
1861-03-01,22.399668
1861-04-01,22.832525
1861-05-01,21.676971
1861-06-01,20.232843
1861-07-01,19.178102
1861-08-01,19.118483
1861-09-01,20.125685
1861-10-01,20.529856
1861-11-01,21.723188
1861-12-01,22.459938
1862-01-01,23.07718
1862-02-01,23.319557
1862-03-01,23.477272
1862-04-01,22.69334
1862-05-01,21.79883
1862-06-01,21.188957
1862-07-01,20.591492
1862-08-01,19.91031
1862-09-01,20.038494
1862-10-01,20.685955
1862-11-01,21.647625
1862-12-01,22.861712
1863-01-01,23.334986
1863-02-01,23.564032
1863-03-01,23.285368
1863-04-01,22.844862
1863-05-01,22.605558
1863-06-01,21.354664
1863-07-01,20.458605
1863-08-01,19.923677
1863-09-01,20.192781
1863-10-01,20.768593
1863-11-01,21.280317
1863-12-01,23.278166
1864-01-01,23.466835
1864-02-01,23.950777
1864-03-01,23.718065
1864-04-01,23.405725
1864-05-01,22.331755
1864-06-01,20.96717
1864-07-01,19.75157
1864-08-01,19.516191
1864-09-01,19.570086
1864-10-01,20.418648
1864-11-01,21.903944
1864-12-01,23.093962
1865-01-01,23.366926
1865-02-01,23.178516
1865-03-01,23.038263
1865-04-01,22.89334
1865-05-01,21.776836
1865-06-01,20.758171
1865-07-01,20.164942
1865-08-01,19.780596
1865-09-01,19.841763
1865-10-01,20.544157
1865-11-01,21.840143
1865-12-01,22.546793
1866-01-01,23.229717
1866-02-01,23.313066
1866-03-01,24.304579
1866-04-01,23.25685
1866-05-01,21.911566
1866-06-01,20.821701
1866-07-01,19.982508
1866-08-01,19.597273
1866-09-01,19.13918
1866-10-01,21.200981
1866-11-01,22.245872
1866-12-01,22.092125
1867-01-01,23.018732
1867-02-01,23.781664
1867-03-01,23.876642
1867-04-01,23.028057
1867-05-01,21.576937
1867-06-01,20.935713
1867-07-01,20.144667
1867-08-01,20.059565
1867-09-01,20.439728
1867-10-01,20.856815
1867-11-01,21.304073
1867-12-01,21.91555
1868-01-01,22.489117
1868-02-01,23.037579
1868-03-01,23.171555
1868-04-01,23.403603
1868-05-01,21.716082
1868-06-01,20.826685
1868-07-01,20.00519
1868-08-01,19.811193
1868-09-01,20.235052
1868-10-01,21.115986
1868-11-01,21.901745
1868-12-01,22.726957
1869-01-01,23.30196
1869-02-01,23.56678
1869-03-01,23.648907
1869-04-01,23.213905
1869-05-01,22.57088
1869-06-01,20.944988
1869-07-01,20.040648
1869-08-01,19.865887
1869-09-01,20.289007
1869-10-01,20.825848
1869-11-01,21.909529
1869-12-01,22.656141
1870-01-01,23.161926
1870-02-01,23.43144
1870-03-01,23.548126
1870-04-01,23.09784
1870-05-01,22.47827
1870-06-01,21.240934
1870-07-01,20.206524
1870-08-01,19.61732
1870-09-01,19.788189
1870-10-01,20.860298
1870-11-01,21.91219
1870-12-01,22.734486
1871-01-01,23.178642
1871-02-01,23.423882
1871-03-01,23.436495
1871-04-01,22.86511
1871-05-01,21.929138
1871-06-01,21.064333
1871-07-01,20.385675
1871-08-01,19.792406
1871-09-01,19.793062
1871-10-01,20.995085
1871-11-01,22.085428
1871-12-01,22.677784
1872-01-01,23.109755
1872-02-01,23.591486
1872-03-01,23.311901
1872-04-01,22.364092
1872-05-01,21.484528
1872-06-01,20.92495
1872-07-01,20.192282
1872-08-01,20.063332
1872-09-01,19.923962
1872-10-01,20.568981
1872-11-01,21.767406
1872-12-01,22.889803
1873-01-01,23.386787
1873-02-01,23.595562
1873-03-01,22.91002
1873-04-01,22.384113
1873-05-01,21.905432
1873-06-01,21.266768
1873-07-01,20.717482
1873-08-01,19.966331
1873-09-01,19.991438
1873-10-01,20.646446
1873-11-01,21.474703
1873-12-01,22.338655
1874-01-01,22.93335
1874-02-01,23.525923
1874-03-01,23.545666
1874-04-01,23.00872
1874-05-01,22.15784
1874-06-01,21.248772
1874-07-01,20.416466
1874-08-01,20.027021
1874-09-01,20.079063
1874-10-01,20.805504
1874-11-01,21.84016
1874-12-01,22.704937
1875-01-01,23.26078
1875-02-01,23.222935
1875-03-01,22.929976
1875-04-01,22.817589
1875-05-01,21.999075
1875-06-01,20.967802
1875-07-01,20.198828
1875-08-01,19.895157
1875-09-01,20.117332
1875-10-01,20.797035
1875-11-01,21.808266
1875-12-01,22.616392
1876-01-01,23.461664
1876-02-01,23.802929
1876-03-01,23.467218
1876-04-01,22.856894
1876-05-01,21.72364
1876-06-01,20.792372
1876-07-01,20.118446
1876-08-01,19.843767
1876-09-01,19.62395
1876-10-01,20.260582
1876-11-01,21.312212
1876-12-01,22.022636
1877-01-01,22.378954
1877-02-01,23.062756
1877-03-01,23.02731
1877-04-01,22.632023
1877-05-01,21.90802
1877-06-01,20.607698
1877-07-01,19.911829
1877-08-01,19.447084
1877-09-01,19.822649
1877-10-01,20.375824
1877-11-01,21.370476
1877-12-01,22.488382
1878-01-01,23.325794
1878-02-01,23.5068
1878-03-01,23.418995
1878-04-01,22.774698
1878-05-01,22.064587
1878-06-01,21.247566
1878-07-01,20.310091
1878-08-01,20.016924
1878-09-01,20.371729
1878-10-01,21.117561
1878-11-01,21.690798
1878-12-01,22.445244
1879-01-01,22.89437
1879-02-01,23.16808
1879-03-01,23.097008
1879-04-01,22.620481
1879-05-01,22.190414
1879-06-01,21.343508
1879-07-01,20.783623
1879-08-01,20.25099
1879-09-01,20.007627
1879-10-01,20.639309
1879-11-01,21.77741
1879-12-01,22.414476
1880-01-01,23.028513
1880-02-01,23.443499
1880-03-01,23.448479
1880-04-01,23.052427
1880-05-01,22.022743
1880-06-01,20.952705
1880-07-01,19.986122
1880-08-01,19.844398
1880-09-01,20.240753
1880-10-01,20.629396
1880-11-01,21.583551
1880-12-01,22.27703
1881-01-01,22.893946
1881-02-01,23.140688
1881-03-01,23.19704
1881-04-01,22.833824
1881-05-01,21.760384
1881-06-01,20.874859
1881-07-01,20.178236
1881-08-01,19.807137
1881-09-01,19.832106
1881-10-01,20.57373
1881-11-01,21.53084
1881-12-01,22.432196
1882-01-01,23.296406
1882-02-01,23.397377
1882-03-01,23.226398
1882-04-01,22.816053
1882-05-01,22.051735
1882-06-01,21.032087
1882-07-01,20.20121
1882-08-01,19.732264
1882-09-01,19.959755
1882-10-01,20.518314
1882-11-01,21.544601
1882-12-01,22.463003
1883-01-01,22.975193
1883-02-01,22.963942
1883-03-01,22.740242
1883-04-01,22.364214
1883-05-01,21.684486
1883-06-01,20.950996
1883-07-01,20.102407
1883-08-01,19.769447
1883-09-01,19.831593
1883-10-01,20.33094
1883-11-01,21.178642
1883-12-01,22.024109
1884-01-01,22.493862
1884-02-01,22.754776
1884-03-01,22.76751
1884-04-01,22.499973
1884-05-01,21.324226
1884-06-01,20.32783
1884-07-01,19.582573
1884-08-01,19.370508
1884-09-01,19.481295
1884-10-01,20.215925
1884-11-01,21.213829
1884-12-01,22.293749
1885-01-01,22.762308
1885-02-01,22.877632
1885-03-01,22.651953
1885-04-01,22.25543
1885-05-01,21.365232
1885-06-01,20.323952
1885-07-01,19.53362
1885-08-01,19.127192
1885-09-01,19.289824
1885-10-01,20.102999
1885-11-01,20.98337
1885-12-01,22.161657
1886-01-01,22.585238
