tag_id,utc,lat,dir1,lon,dir2,lat2,dir3,lon2,dir4,Day of Year,Depth (m),SST weekly (C),SST monthly (C),Country,Displacement (km),Distance (km),Cummulative (km),Hours,Cummulative (days),Speed (kph)
134552,10/11/2013 21:16,-39.661,S,176.877,E,-37.871,S,168.371,E,314,6.51,-99.99,-99.99,New Zealand,5450.2,5450.19,10008.19,-15241.73,-635.07,-0.36
134552,10/11/2013 21:25,-39.667,S,176.903,E,-39.667,S,176.903,E,314,8.35,-99.99,-99.99,New Zealand,5452.5,2.33,10010.52,0.15,-635.07,15.45
134552,10/11/2013 22:54,-39.666,S,176.903,E,-39.666,S,176.903,E,314,7.82,-99.99,-99.99,New Zealand,5452.5,0.11,10010.63,1.49,-635,0.07
134552,28/07/2015 6:18,-32.001,S,115.883,E,-28.155,S,134.06,E,209,18.83,-99.99,-99.99,Australia,2299.1,5467.29,15477.92,14982.4,-10.74,0.36
134552,8/08/2015 17:06,-14.797,S,128.415,E,-17.326,S,139.596,E,220,13.65,23.71,24.34,Australia,0.1,2299.22,17777.14,274.8,0.71,8.37
134552,8/08/2015 18:44,-14.789,S,128.411,E,-14.789,S,128.411,E,220,2.96,23.76,24.34,Australia,1.1,0.99,17778.13,1.64,0.78,0.6
134552,8/08/2015 19:26,-14.775,S,128.419,E,-14.775,S,128.419,E,220,-4.29,23.76,24.33,Australia,2.6,1.78,17779.91,0.7,0.81,2.53
134552,8/08/2015 20:01,-14.772,S,128.415,E,-14.772,S,128.415,E,220,-6.16,23.77,24.33,Australia,2.9,0.54,17780.45,0.58,0.83,0.94
134552,8/08/2015 20:01,-14.766,S,128.415,E,-14.766,S,128.415,E,220,-8.37,23.78,24.33,Australia,3.6,0.67,17781.12,0.01,0.83,104.87
134552,8/08/2015 21:08,-14.757,S,128.44,E,-14.757,S,128.44,E,220,-9.48,23.74,24.33,Australia,5.3,2.87,17783.99,1.11,0.88,2.59
134552,8/08/2015 21:33,-14.754,S,128.441,E,-14.754,S,128.441,E,220,-9.96,23.74,24.33,Australia,5.6,0.35,17784.34,0.42,0.9,0.83
134552,8/08/2015 21:40,-14.756,S,128.428,E,-14.756,S,128.428,E,220,-9.04,23.76,24.33,Australia,4.9,1.42,17785.76,0.12,0.9,11.78
134552,8/08/2015 23:20,-14.744,S,128.439,E,-14.744,S,128.439,E,220,-10.22,23.75,24.33,Australia,6.5,1.79,17787.55,1.66,0.97,1.08
134552,8/08/2015 23:47,-14.757,S,128.421,E,-14.757,S,128.421,E,220,-9.05,23.77,24.33,Australia,4.6,2.42,17789.97,0.45,0.99,5.38
134552,9/08/2015 1:15,-14.746,S,128.431,E,-14.746,S,128.431,E,221,-10,23.76,24.33,Australia,6,1.63,17791.6,1.47,1.05,1.11
134552,9/08/2015 4:04,-14.752,S,128.426,E,-14.752,S,128.426,E,221,-9.69,23.77,24.33,Australia,5.3,0.86,17792.46,2.82,1.17,0.31
134552,9/08/2015 8:38,-14.709,S,128.462,E,-14.709,S,128.462,E,221,-10,23.72,24.33,Australia,11.1,6.16,17798.62,4.56,1.36,1.35
134552,9/08/2015 10:18,-14.69,S,128.436,E,-14.69,S,128.436,E,221,-10,23.74,24.27,Australia,12.2,3.51,17802.13,1.68,1.43,2.09
134552,11/08/2015 7:02,-14.859,S,128.287,E,-14.859,S,128.287,E,223,-4,24.07,24.51,Australia,15.4,24.72,17826.85,44.73,3.29,0.55
134552,11/08/2015 11:33,-14.816,S,128.316,E,-14.816,S,128.316,E,223,-3.96,23.97,24.38,Australia,10.8,5.71,17832.56,4.51,3.48,1.27
134552,13/08/2015 1:40,-14.877,S,128.289,E,-14.877,S,128.289,E,225,-3.79,24.53,24.56,Australia,16.2,7.39,17839.95,38.13,5.07,0.19
134552,13/08/2015 4:56,-14.841,S,128.25,E,-14.841,S,128.25,E,225,-4.46,24.46,24.45,Australia,18.4,5.8,17845.75,3.25,5.21,1.78
134552,13/08/2015 7:25,-14.84,S,128.277,E,-14.84,S,128.277,E,225,-4.15,24.45,24.45,Australia,15.6,2.91,17848.66,2.5,5.31,1.16
134552,13/08/2015 8:18,-14.859,S,128.31,E,-14.859,S,128.31,E,225,-4,24.47,24.49,Australia,13.2,4.13,17852.79,0.87,5.35,4.73
134552,13/08/2015 9:03,-14.882,S,128.314,E,-14.882,S,128.314,E,225,-3.08,24.49,24.52,Australia,14.3,2.6,17855.39,0.76,5.38,3.44
134552,13/08/2015 9:52,-14.9,S,128.313,E,-14.9,S,128.313,E,225,-2.22,24.45,24.54,Australia,15.8,2.01,17857.4,0.82,5.41,2.46
134552,15/08/2015 0:10,-14.954,S,128.307,E,-14.954,S,128.307,E,227,3.38,24.36,24.59,Australia,20.9,6.05,17863.45,38.3,7.01,0.16
134552,15/08/2015 1:02,-14.972,S,128.32,E,-14.972,S,128.32,E,227,4.33,23.91,24.38,Australia,21.9,2.44,17865.89,0.86,7.04,2.82
134552,15/08/2015 4:36,-14.983,S,128.324,E,-14.983,S,128.324,E,227,4.1,23.64,24.24,Australia,22.8,1.3,17867.19,3.56,7.19,0.36
