tag_id,utc,lat,dir1,lon,dir2,lat2,dir3,lon2,dir4,Day of Year,Depth (m),Distance (km),Cummulative (km),Hours,Cummulative (days),Speed (kph)
165535a,29/11/2016 14:08,-20.365,S,115.497,E,-20.635,S,114.246,E,334,-5.2,0,2626,14.15,0.59,0
165535a,29/11/2016 14:54,-20.361,S,115.496,E,-20.361,S,115.496,E,334,-6.22,0.46,2626.46,0.76,0.62,0.61
165535a,29/11/2016 15:42,-20.357,S,115.5,E,-20.357,S,115.5,E,334,-5.74,0.61,2627.07,0.8,0.65,0.76
165535a,29/11/2016 20:31,-20.361,S,115.5,E,-20.361,S,115.5,E,334,-5.02,0.45,2627.52,4.83,0.86,0.09
165535a,29/11/2016 23:05,-20.354,S,115.501,E,-20.354,S,115.501,E,334,-6.03,0.79,2628.31,2.56,0.96,0.31
165535a,30/11/2016 7:23,-20.334,S,115.507,E,-20.334,S,115.507,E,335,-11.48,2.31,2630.62,8.3,1.31,0.28
165535a,30/11/2016 9:10,-20.346,S,115.504,E,-20.346,S,115.504,E,335,-7.54,1.37,2631.99,1.78,1.38,0.77
165535a,30/11/2016 10:10,-20.366,S,115.522,E,-20.366,S,115.522,E,335,0.21,2.91,2634.9,1.01,1.42,2.88
165535a,30/11/2016 11:12,-20.371,S,115.529,E,-20.371,S,115.529,E,335,-0.1,0.92,2635.82,1.03,1.47,0.9
165535a,30/11/2016 11:25,-20.369,S,115.527,E,-20.369,S,115.527,E,335,-0.07,0.31,2636.13,0.22,1.48,1.39
165535a,30/11/2016 15:26,-20.35,S,115.541,E,-20.35,S,115.541,E,335,-4.92,2.57,2638.7,4.01,1.64,0.64
165535a,30/11/2016 18:37,-20.355,S,115.518,E,-20.355,S,115.518,E,335,-1.9,2.46,2641.16,3.19,1.78,0.77
165535a,30/11/2016 22:27,-20.362,S,115.527,E,-20.362,S,115.527,E,335,-1.19,1.22,2642.38,3.83,1.94,0.32
165535a,30/11/2016 22:30,-20.361,S,115.525,E,-20.361,S,115.525,E,335,-1.19,0.24,2642.62,0.05,1.94,5.11
