tag_id,date,lat,dir1,lon,dir2,lat2,dir3,lon2,dir4,Day of Year,Depth (m),SST daily (C),SST weekly (C),SST monthly (C),Displacement (km),Distance (km),Cummulative (km),Hours,Cummulative (days),Speed (kph)
76034a,24/01/2008 19:32,-22.142,S,113.728,E,-29.93,S,146.707,E,24,-508.84,27.81,27.04,26.52,18.9,18.86,11579.86,1.63,0.07,11.58
76034a,25/01/2008 2:19,-22.248,S,113.753,E,-17.662,S,92.732,E,25,-163.25,27.15,26.54,26.34,8.9,12.08,11591.94,6.79,0.35,1.78
76034a,25/01/2008 19:09,-22.24,S,113.729,E,-13.537,S,75.946,E,25,-276.46,27.12,26.53,26.36,11.5,2.63,11594.57,16.82,1.05,0.16
76034a,26/01/2008 14:27,-22.45,S,113.716,E,-24.993,S,104.275,E,26,-35.72,-99.99,-99.99,-99.99,22.1,23.41,11617.98,19.3,1.86,1.21
76034a,27/01/2008 14:12,-22.226,S,114.164,E,-22.5,S,112.871,E,27,-10.16,28.99,28.87,28.62,34.9,52.44,11670.42,23.76,2.85,2.21
76034a,28/01/2008 9:02,-22.298,S,113.62,E,-21.445,S,116.632,E,28,-675.58,26.21,26.64,26.65,21.8,56.61,11727.03,18.82,3.63,3.01
76034a,29/01/2008 1:17,-22.279,S,113.822,E,-28.216,S,141.161,E,29,7.24,-99.99,-99.99,-99.99,1,20.91,11747.94,16.25,4.31,1.29
76034a,29/01/2008 15:15,-22.344,S,113.78,E,-27.04,S,95.185,E,29,-20.95,25.98,26.42,26.52,8.7,8.43,11756.37,13.97,4.89,0.6
76034a,30/01/2008 8:40,-22.285,S,113.801,E,-19.16,S,127.382,E,30,-28.21,-99.99,-99.99,-99.99,3.1,6.91,11763.28,17.42,5.61,0.4
76034a,30/01/2008 13:07,-22.286,S,113.786,E,-15.942,S,143.135,E,30,-50.53,-99.99,26.66,26.44,4.7,1.55,11764.83,4.46,5.8,0.35
76034a,30/01/2008 15:00,-22.29,S,113.807,E,-24.065,S,105.183,E,30,-13.31,-99.99,-99.99,-99.99,2.6,2.21,11767.04,1.87,5.88,1.18
76034a,30/01/2008 21:38,-22.287,S,113.818,E,-20.073,S,103.432,E,30,5.45,-99.99,-99.99,-99.99,1.5,1.18,11768.22,6.64,6.16,0.18
76034a,31/01/2008 19:47,-22.277,S,113.823,E,-27.898,S,139.242,E,31,8.01,-99.99,-99.99,-99.99,1,1.23,11769.45,22.15,7.08,0.06
76034a,1/02/2008 9:38,-22.303,S,113.157,E,-21.291,S,117.136,E,32,-1523.58,26.85,26.78,27.73,69.5,68.66,11838.11,13.84,7.66,4.96
76034a,4/02/2008 2:21,-22.296,S,113.709,E,-17.899,S,95.214,E,35,-250.53,-99.99,27.63,27.62,12.7,56.86,11894.97,64.72,10.35,0.88
76034a,4/02/2008 6:00,-22.323,S,113.6,E,-20.348,S,120.022,E,35,-718.26,28.59,27.89,27.84,24.2,11.62,11906.59,3.65,10.5,3.18
76034a,5/02/2008 2:00,-22.368,S,113.497,E,-20.86,S,106.369,E,36,-1095.65,28.98,28.11,27.7,35.7,11.73,11918.32,20.01,11.34,0.59
76034a,5/02/2008 15:58,-22.315,S,113.808,E,-30.205,S,75.546,E,36,7.9,-99.99,-99.99,-99.99,4.4,32.56,11950.88,13.96,11.92,2.33
76034a,5/02/2008 20:30,-22.311,S,113.803,E,-23.674,S,119.606,E,36,-7.93,-99.99,-99.99,-99.99,4.3,0.68,11951.56,4.53,12.11,0.15
76034a,6/02/2008 1:36,-22.297,S,113.808,E,-22.73,S,115.797,E,37,-5.34,-99.99,-99.99,-99.99,2.9,1.64,11953.2,5.11,12.32,0.32
76034a,6/02/2008 5:41,-22.295,S,113.803,E,-18.907,S,128.878,E,37,-17.65,-99.99,-99.99,-99.99,3.2,0.56,11953.76,4.08,12.49,0.14
76034a,6/02/2008 9:02,-22.312,S,113.785,E,-21.089,S,119.045,E,37,-38.64,-99.99,27.66,28.28,5.8,2.65,11956.41,3.34,12.63,0.79
76034a,6/02/2008 11:01,-22.3,S,113.81,E,-30.403,S,77.669,E,37,1.8,-99.99,-99.99,-99.99,2.9,2.9,11959.31,1.99,12.71,1.45
76034a,6/02/2008 13:53,-22.318,S,113.803,E,-17.752,S,134.936,E,37,-3.76,-99.99,-99.99,-99.99,4.9,2.13,11961.44,2.86,12.83,0.74
76034a,6/02/2008 13:57,-22.281,S,113.712,E,-20.889,S,117.508,E,37,-265.25,-99.99,27.66,27.67,12.3,10.24,11971.68,0.08,12.84,135.03
76034a,6/02/2008 15:44,-22.305,S,113.81,E,-31.792,S,68.466,E,37,5.64,-99.99,-99.99,-99.99,3.4,10.44,11982.12,1.77,12.91,5.89
76034a,6/02/2008 17:04,-22.321,S,113.799,E,-27.24,S,135.925,E,37,-10.71,-99.99,-99.99,-99.99,5.5,2.11,11984.23,1.34,12.97,1.57
76034a,6/02/2008 18:41,-22.33,S,113.8,E,-16.37,S,87.205,E,37,-1,-99.99,-99.99,-99.99,6.2,1.01,11985.24,1.61,13.03,0.63
76034a,6/02/2008 20:35,-22.317,S,113.794,E,-26.92,S,135.043,E,37,-22.08,-99.99,-99.99,-99.99,5.4,1.57,11986.81,1.9,13.11,0.83
76034a,6/02/2008 22:09,-22.3,S,113.757,E,-16.688,S,87.528,E,37,-84.5,-99.99,27.66,28.05,7.9,4.25,11991.06,1.57,13.18,2.71
76034a,7/02/2008 1:05,-22.312,S,113.807,E,-28.837,S,144.565,E,38,3.14,-99.99,-99.99,-99.99,4.2,5.32,11996.38,2.94,13.3,1.81
76034a,7/02/2008 7:14,-22.309,S,113.81,E,-28.428,S,85.933,E,38,8.71,-99.99,-99.99,-99.99,3.7,0.45,11996.83,6.14,13.55,0.07
76034a,7/02/2008 8:48,-22.315,S,113.807,E,-19.673,S,124.73,E,38,5.18,-99.99,-99.99,-99.99,4.4,0.74,11997.57,1.56,13.62,0.47
76034a,7/02/2008 8:53,-22.184,S,113.353,E,-17.169,S,136.618,E,38,-1413,27.72,28.09,27.92,50.4,49,12046.57,0.09,13.62,537.8
76034a,7/02/2008 10:37,-22.323,S,113.792,E,-27.637,S,88.955,E,38,-20.33,-99.99,-99.99,-99.99,6.1,47.8,12094.37,1.73,13.7,27.57
76034a,7/02/2008 13:31,-22.32,S,113.798,E,-15.299,S,145.924,E,38,-13.19,-99.99,-99.99,-99.99,5.4,0.7,12095.07,2.9,13.82,0.24
76034a,7/02/2008 13:43,-22.314,S,113.793,E,-19.449,S,126.608,E,38,-25.2,-99.99,-99.99,-99.99,5.3,0.84,12095.91,0.21,13.83,4.03
76034a,7/02/2008 16:55,-22.259,S,113.797,E,-28.681,S,139.295,E,38,-46.05,-99.99,-99.99,-99.99,4.3,6.14,12102.05,3.2,13.96,1.92
76034a,8/02/2008 2:16,-22.112,S,113.408,E,-20.967,S,108.177,E,39,-1260.51,28.11,28.12,27.96,47.5,43.31,12145.36,9.35,14.35,4.63
76034a,8/02/2008 10:20,-22.297,S,113.805,E,-29.244,S,82.065,E,39,-11.89,-99.99,-99.99,-99.99,3.2,45.81,12191.17,8.07,14.68,5.67
76034a,8/02/2008 14:57,-22.325,S,113.787,E,-28.177,S,89.46,E,39,-26.95,27.58,27.65,28.27,6.6,3.63,12194.8,4.62,14.88,0.79
76034a,9/02/2008 2:00,-22.247,S,113.699,E,-23.367,S,118.896,E,40,-387.66,27.17,27.76,27.76,14.1,12.55,12207.35,11.04,15.34,1.14
76034a,9/02/2008 3:40,-22.296,S,113.805,E,-13.072,S,70.476,E,40,-12.65,-99.99,-99.99,-99.99,3.1,12.21,12219.56,1.67,15.41,7.33
76034a,9/02/2008 9:45,-22.276,S,113.741,E,-22.664,S,112.501,E,40,-159.3,27.39,27.69,27.88,9.3,6.96,12226.52,6.09,15.66,1.14
76034a,9/02/2008 16:03,-22.273,S,113.816,E,-30.84,S,72.319,E,40,-8.69,-99.99,-99.99,-99.99,1.8,7.73,12234.25,6.29,15.92,1.23
76034a,9/02/2008 19:47,-22.301,S,113.813,E,-29.373,S,140.809,E,40,9.49,-99.99,-99.99,-99.99,2.8,3.13,12237.38,3.73,16.08,0.84
76034a,9/02/2008 21:01,-22.28,S,113.811,E,-23.975,S,121.765,E,40,-13.52,-99.99,-99.99,-99.99,2.1,2.35,12239.73,1.24,16.13,1.89
76034a,10/02/2008 1:53,-22.287,S,113.814,E,-20.935,S,107.552,E,41,-2.78,-99.99,-99.99,-99.99,1.8,0.84,12240.57,4.86,16.33,0.17
76034a,10/02/2008 8:09,-22.291,S,113.762,E,-15.965,S,141.204,E,41,-85.38,28.2,27.28,28.1,7.2,5.37,12245.94,6.27,16.59,0.86
76034a,10/02/2008 9:54,-22.266,S,113.827,E,-26.742,S,93.524,E,41,8.15,-99.99,-99.99,-99.99,1.8,7.25,12253.19,1.76,16.67,4.11
76034a,11/02/2008 1:17,-22.217,S,113.754,E,-28.46,S,139.915,E,42,-183.63,-99.99,27.12,27.69,10.7,9.29,12262.48,15.38,17.31,0.6
76034a,11/02/2008 1:38,-21.959,S,113.375,E,-23.192,S,116.835,E,42,-1388.9,-99.99,28.23,27.98,59.2,48.51,12310.99,0.35,17.32,140.38
76034a,11/02/2008 6:26,-22.739,S,113.504,E,-24.871,S,107.661,E,42,-212.23,-99.99,26.89,27.56,61,87.84,12398.83,4.8,17.52,18.29
76034a,11/02/2008 9:40,-22.287,S,113.797,E,-25.618,S,99.597,E,42,-33.34,-99.99,-99.99,-99.99,3.5,58.65,12457.48,3.23,17.66,18.19
76034a,11/02/2008 20:17,-22.247,S,113.772,E,-29.215,S,143.448,E,42,-104.87,-99.99,27.14,27.87,7.2,5.14,12462.62,10.63,18.1,0.48
76034a,12/02/2008 9:26,-21.927,S,114.245,E,-24.517,S,105.398,E,43,-21.35,28.99,29.2,29.08,58.2,60.41,12523.03,13.14,18.65,4.6
76034a,12/02/2008 10:23,-22.214,S,113.523,E,-25.394,S,98.19,E,43,-1010.94,27.39,27.63,27.87,32.6,81.04,12604.07,0.96,18.69,84.76
76034a,13/02/2008 2:02,-22.21,S,112.707,E,-22.898,S,116.099,E,44,-3520.82,26.84,27.67,27.61,116.1,84.1,12688.17,15.64,19.34,5.38
76034a,13/02/2008 6:07,-22.392,S,113.165,E,-21.17,S,117.154,E,44,-1449.33,27.87,27.47,27.73,69.7,51.34,12739.51,4.09,19.51,12.56
