tag_id,utc,lat,dir1,lon,dir2,lat2,dir3,lon2,dir4,Day of Year,Depth (m),SST weekly (C),SST monthly (C),Distance (km),Cummulative (km),Hours,Cummulative (days),Speed (kph)
152612,30/08/2015 0:53,-32.007,S,115.875,E,-32.007,S,115.875,E,242,13.33,-99.99,-99.99,1286.34,5035.34,-117.61,-4.9,-10.94
152612,30/08/2015 1:43,-32.006,S,115.877,E,-32.006,S,115.877,E,242,13.9,-99.99,-99.99,0.22,5035.56,0.85,-4.87,0.26
152612,30/08/2015 2:28,-32.01,S,115.854,E,-32.01,S,115.854,E,242,5.75,-99.99,-99.99,2.22,5037.78,0.75,-4.83,2.96
152612,30/08/2015 6:44,-32.003,S,115.871,E,-32.003,S,115.871,E,242,16.57,-99.99,-99.99,1.78,5039.56,4.26,-4.66,0.42
152612,30/08/2015 8:25,-32.009,S,115.878,E,-32.009,S,115.878,E,242,11,-99.99,-99.99,0.94,5040.5,1.68,-4.59,0.56
152612,30/08/2015 9:01,-31.997,S,115.875,E,-31.997,S,115.875,E,242,19,-99.99,-99.99,1.37,5041.87,0.61,-4.56,2.25
152612,30/08/2015 9:29,-32.007,S,115.874,E,-32.007,S,115.874,E,242,13.49,-99.99,-99.99,1.12,5042.99,0.46,-4.54,2.44
152612,30/08/2015 9:38,-32.007,S,115.875,E,-32.007,S,115.875,E,242,13.33,-99.99,-99.99,0.09,5043.08,0.15,-4.54,0.6
152612,30/08/2015 10:40,-32.007,S,115.875,E,-32.007,S,115.875,E,242,13.33,-99.99,-99.99,0,5043.08,1.04,-4.49,0
152612,30/08/2015 11:08,-32.008,S,115.876,E,-32.008,S,115.876,E,242,12.32,-99.99,-99.99,0.15,5043.23,0.47,-4.47,0.32
152612,30/08/2015 11:20,-32.005,S,115.876,E,-32.005,S,115.876,E,242,14.87,-99.99,-99.99,0.33,5043.56,0.19,-4.47,1.7
152612,3/09/2015 17:20,-20.468,S,116.588,E,-26.504,S,143.77,E,246,7.19,23.31,24.15,1286.22,6329.78,102,-0.21,12.61
152612,3/09/2015 19:02,-20.468,S,116.586,E,-20.468,S,116.586,E,246,8.22,23.31,24.15,0.21,6329.99,1.69,-0.14,0.12
152612,3/09/2015 20:49,-20.468,S,116.587,E,-20.468,S,116.587,E,246,7.71,23.31,24.15,0.1,6330.09,1.79,-0.07,0.06
152612,3/09/2015 21:10,-20.472,S,116.605,E,-20.472,S,116.605,E,246,0.4,23.25,24.13,1.93,6332.02,0.34,-0.06,5.72
152612,3/09/2015 21:24,-20.47,S,116.589,E,-20.47,S,116.589,E,246,8.26,23.3,24.15,1.68,6333.7,0.24,-0.05,7
152612,3/09/2015 22:37,-20.469,S,116.589,E,-20.469,S,116.589,E,246,7.47,23.3,24.15,0.11,6333.81,1.22,0.01,0.09
152612,3/09/2015 22:59,-20.464,S,116.574,E,-20.464,S,116.574,E,246,3.32,23.36,24.17,1.66,6335.47,0.37,0.02,4.48
152612,3/09/2015 23:01,-20.465,S,116.587,E,-20.465,S,116.587,E,246,5.87,23.32,24.16,1.36,6336.83,0.04,0.02,37.95
152612,4/09/2015 0:44,-20.458,S,116.587,E,-20.458,S,116.587,E,247,3.39,23.33,24.17,0.78,6337.61,1.72,0.09,0.45
152612,4/09/2015 2:29,-20.456,S,116.588,E,-20.456,S,116.588,E,247,2.46,23.34,24.17,0.25,6337.86,1.75,0.17,0.14
152612,4/09/2015 5:51,-20.456,S,116.588,E,-20.456,S,116.588,E,247,2.46,23.34,24.17,0,6337.86,3.37,0.31,0
152612,4/09/2015 9:19,-20.454,S,116.583,E,-20.454,S,116.583,E,247,2.6,23.36,24.18,0.57,6338.43,3.47,0.45,0.16
152612,4/09/2015 9:52,-20.454,S,116.581,E,-20.454,S,116.581,E,247,2.13,23.36,24.19,0.21,6338.64,0.54,0.47,0.39
152612,4/09/2015 18:43,-20.436,S,116.587,E,-20.436,S,116.587,E,247,-1.41,23.41,24.23,2.1,6340.74,8.85,0.84,0.24
152612,5/09/2015 1:19,-20.454,S,116.581,E,-20.454,S,116.581,E,248,2.13,23.36,24.19,2.1,6342.84,6.59,1.12,0.32
152612,5/09/2015 5:40,-20.451,S,116.573,E,-20.451,S,116.573,E,248,-0.59,23.4,24.2,0.9,6343.74,4.35,1.3,0.21
152612,5/09/2015 13:46,-20.45,S,116.564,E,-20.45,S,116.564,E,248,-2.16,23.43,24.22,0.95,6344.69,8.11,1.64,0.12
152612,5/09/2015 14:31,-20.454,S,116.583,E,-20.454,S,116.583,E,248,2.6,23.36,24.18,2.03,6346.72,0.75,1.67,2.72
152612,5/09/2015 20:08,-20.463,S,116.597,E,-20.463,S,116.597,E,248,1.62,23.29,24.15,1.77,6348.49,5.61,1.9,0.32
152612,6/09/2015 1:45,-20.452,S,116.583,E,-20.452,S,116.583,E,249,1.77,24.04,24.19,1.91,6350.4,5.61,2.14,0.34
152612,6/09/2015 5:25,-20.454,S,116.59,E,-20.454,S,116.59,E,249,1.4,24.03,24.18,0.76,6351.16,3.68,2.29,0.21
152612,6/09/2015 12:34,-20.458,S,116.605,E,-20.458,S,116.605,E,249,-0.33,24.01,24.14,1.63,6352.79,7.14,2.59,0.23
152612,6/09/2015 20:38,-20.454,S,116.615,E,-20.454,S,116.615,E,249,-0.95,24.02,24.14,1.13,6353.92,8.06,2.92,0.14
152612,6/09/2015 22:17,-20.456,S,116.6,E,-20.456,S,116.6,E,249,-0.28,24.02,24.16,1.58,6355.5,1.66,2.99,0.95
152612,7/09/2015 1:31,-20.457,S,116.6,E,-20.457,S,116.6,E,250,-0.16,24.02,24.15,0.11,6355.61,3.23,3.13,0.03
